title,authors,year,star_rating,price,source_url
"Data Pipelines with Apache Airflow, 2nd ed.","Julian de Ruiter, Ismael Cabral, Kris Geusebroek, Daniel van der Ende, Bas Harenslak",2026,3.0,23.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Architecting an Apache Iceberg Lakehouse,Alex Merced,2025,3.0,33.59,https://www.manning.com/catalog/software-development/cloud/data-engineering
Data Engineering on Azure,Vlad Riscutia,2021,8.0,27.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Data Pipelines with Apache Airflow,Bas P. Harenslak and Julian Rutger de Ruiter,2021,2.0,27.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Designing Cloud Data Platforms,Danil Zburivsky and Lynda Partner,2021,4.0,33.59,https://www.manning.com/catalog/software-development/cloud/data-engineering
"Azure Storage, Streaming, and Batch Analytics",Richard L. Nuckolls,2020,5.0,27.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Mastering Large Datasets with Python,John T. Wolohan,2020,1.0,27.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Spark in Action,Petar Zečević and  Marko Bonaći,2016,,23.99,https://www.manning.com/catalog/software-development/cloud/data-engineering
Cloud Data Platforms,Architecting an Apache Iceberg Lakehouse Alex Merced,2025,2.0,33.59,https://www.manning.com/catalog/software-development/cloud/data-engineering/cloud-data-platforms
Cloud Data Engineering,Architecting an Apache Iceberg Lakehouse Alex Merced,2025,4.0,33.59,https://www.manning.com/catalog/software-development/cloud/data-engineering/cloud-data-engineering
Azure Data Engineering,Architecting an Apache Iceberg Lakehouse Alex Merced,2025,4.0,33.59,https://www.manning.com/catalog/software-development/databases/database-platforms/azure-data-engineering
Data Management and Organization,Digital Twins in Action Greg Biegel,2026,2.0,39.19,https://www.manning.com/catalog/data-science/data-engineering/data-management-and-organization
Data Mesh in Action,"Jacek Majchrzak, Sven Balnojan, and Marian Siwiak with Mariusz Sieraczkiewicz Foreword by Jean-Georges Perrin",2022,4.0,39.19,https://www.manning.com/catalog/data-science/data-engineering/data-management-and-organization
Graph Databases in Action,"Dave Bechberger, Josh Perryman",2020,2.0,27.99,https://www.manning.com/catalog/data-science/data-engineering/data-management-and-organization
Taming Text,"Grant S. Ingersoll, Thomas S. Morton, and Andrew L. Farris Foreword by Liz Liddy",2012,,25.19,https://www.manning.com/catalog/data-science/data-engineering/data-management-and-organization
